Scientific name,Acronym,In modelling folder,Functional Group,Taxonomic Group,Phylum,Common name
Amphibalanus amphitrite,Aamp,Yes,Zoobenthos,Thecostraca,Arthropoda,Striped baracle
Asterias amurensis,Aamu,Yes,Zoobenthos,Echinodermata,Echinodermata,Northern Pacific seastar
Asparagopsis armata,Aarm,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Harpoon weed
Ascidiella aspersa,Aasp,Yes,Zoobenthos,Tunicata,Chordata,European sea squirt
Aurelia aurita/ coerulea,Aaur,Yes,Zooplankton,Cnidaria,Cnidaria,
Alexandrium catenella,Acat,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Acartia (Acartiura) clausi,Acla,Yes,Zooplankton,Copepoda,Arthropoda,
Amphibalanus eburneus,Aebu,Yes,Zoobenthos,Thecostraca,Arthropoda,Ivory barnacle
Aglaothamnion halliae,Ahal,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Red algae
Ammothea hilgendorfi,Ahil,Yes,Zoobenthos,Pycnogonida,Arthropoda,
Acartia hudsonica,Ahud,Yes,Zooplankton,Copepoda,Arthropoda,
Amphibalanus improvisus,Aimp,Yes,Zoobenthos,Thecostraca,Arthropoda,Bay barnacle
Aurelia limbata,Alim,Yes,Zooplankton,Cnidaria,Cnidaria,Brown-branded moon jelly
Alexandrium minutum,Amin,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,Red tide
Austrominius modestus,Amod,Yes,Zoobenthos,Thecostraca,Arthropoda,Australian barnacle
Alexandrium ostenfeldii,Aost,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Anomalocera patersonii,Apat,Yes,Zooplankton,Copepoda,Arthropoda,
Albatrossia pectoralis,Apec,Yes,Fish,Teleostei,Chordata,Giant grenadier
Arcuatula senhousia,Asen,Yes,Zoobenthos,Mollusca,Mollusca,Asian date mussel
Alderia modesta,Asta,Yes,Zoobenthos,Mollusca,Mollusca,
Alexandrium tamarense,Atam,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Acartia tonsa,Aton,Yes,Zooplankton,Copepoda,Arthropoda,
Agarophyton vermiculophyllum,Aver,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Red algae
